"sex","age","edu","arear","ethnicity","party_kmt","party_dpp","party_tpp","n","n_wt","prop","prop_wt","cell"
"女性","40至49歲","大學及以上","北北基宜蘭區","本省閩南人","05","06","05",2,1.82595591188503,0.000755001887504719,0.00069187847784457,"女性 | 40至49歲 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 06 | 05"
"女性","40至49歲","大學及以上","桃竹苗區","本省閩南人","05","05","05",2,1.71905225741545,0.000755001887504719,0.000651371290760259,"女性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 05 | 05 | 05"
"女性","40至49歲","大學及以上","桃竹苗區","本省閩南人","06","04","05",2,1.71905225741545,0.000755001887504719,0.000651371290760259,"女性 | 40至49歲 | 大學及以上 | 桃竹苗區 | 本省閩南人 | 06 | 04 | 05"
"女性","40至49歲","大學及以上","花東區","本省閩南人","00","07","00",2,1.44607498088177,0.000755001887504719,0.00054793664518916,"女性 | 40至49歲 | 大學及以上 | 花東區 | 本省閩南人 | 00 | 07 | 00"
"女性","40至49歲","大學及以上","雲嘉南區","本省閩南人","01","08","00",2,1.61093997796172,0.000755001887504719,0.000610406139927272,"女性 | 40至49歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 01 | 08 | 00"
"女性","40至49歲","大學及以上","雲嘉南區","本省閩南人","02","06","05",2,1.61093997796172,0.000755001887504719,0.000610406139927272,"女性 | 40至49歲 | 大學及以上 | 雲嘉南區 | 本省閩南人 | 02 | 06 | 05"
"女性","40至49歲","高中、職","中彰投區","本省閩南人","00","10","00",2,2.60244502938433,0.000755001887504719,0.000986100318131871,"女性 | 40至49歲 | 高中、職 | 中彰投區 | 本省閩南人 | 00 | 10 | 00"
"女性","40至49歲","高中、職","雲嘉南區","本省閩南人","01","01","01",2,2.24228802048594,0.000755001887504719,0.000849632136463441,"女性 | 40至49歲 | 高中、職 | 雲嘉南區 | 本省閩南人 | 01 | 01 | 01"
"女性","50至59歲","大學及以上","北北基宜蘭區","本省客家人","05","05","05",2,1.64881436014346,0.000755001887504719,0.000624757236644692,"女性 | 50至59歲 | 大學及以上 | 北北基宜蘭區 | 本省客家人 | 05 | 05 | 05"
"女性","50至59歲","大學及以上","高屏區","本省閩南人","05","05","05",2,2.08345356838484,0.000755001887504719,0.000789447693764854,"女性 | 50至59歲 | 大學及以上 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","專科","北北基宜蘭區","本省客家人","06","00","03",2,1.78451068924848,0.000755001887504719,0.000676174343169103,"女性 | 50至59歲 | 專科 | 北北基宜蘭區 | 本省客家人 | 06 | 00 | 03"
"女性","50至59歲","高中、職","中彰投區","本省閩南人","05","05","05",2,2.34997390024773,0.000755001887504719,0.000890435718899352,"女性 | 50至59歲 | 高中、職 | 中彰投區 | 本省閩南人 | 05 | 05 | 05"
"女性","50至59歲","高中、職","高屏區","本省閩南人","05","05","05",2,2.89998574840695,0.000755001887504719,0.00109884237199758,"女性 | 50至59歲 | 高中、職 | 高屏區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","北北基宜蘭區","本省閩南人","03","08","00",2,1.92662278853885,0.000755001887504719,0.000730022468581296,"女性 | 60歲及以上 | 國、初中 | 北北基宜蘭區 | 本省閩南人 | 03 | 08 | 00"
"女性","60歲及以上","國、初中","雲嘉南區","本省閩南人","00","10","00",2,1.69975279923667,0.000755001887504719,0.000644058474683458,"女性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","國、初中","雲嘉南區","本省閩南人","05","05","05",2,1.69975279923667,0.000755001887504719,0.000644058474683458,"女性 | 60歲及以上 | 國、初中 | 雲嘉南區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","國、初中","高屏區","本省閩南人","00","10","00",2,2.43449427706558,0.000755001887504719,0.000922461590542229,"女性 | 60歲及以上 | 國、初中 | 高屏區 | 本省閩南人 | 00 | 10 | 00"
"女性","60歲及以上","大學及以上","北北基宜蘭區","本省閩南人","05","05","05",2,1.17562721479762,0.000755001887504719,0.000445460464073924,"女性 | 60歲及以上 | 大學及以上 | 北北基宜蘭區 | 本省閩南人 | 05 | 05 | 05"
"女性","60歲及以上","專科","北北基宜蘭區","大陸各省市","05","05","05",2,1.2723805554406,0.000755001887504719,0.000482121565042858,"女性 | 60歲及以上 | 專科 | 北北基宜蘭區 | 大陸各省市 | 05 | 05 | 05"
"女性","60歲及以上","專科","桃竹苗區","本省閩南人","05","03","04",2,1.19788689961503,0.000755001887504719,0.000453894948580654,"女性 | 60歲及以上 | 專科 | 桃竹苗區 | 本省閩南人 | 05 | 03 | 04"
